2023/12/13
11:59:43.79
2e-05
N,mm,ms
4.375,0.0,0.0
378.88,0.07500000000000284,0.26000000000004775
513.92,0.1670000000000016,0.28000000000002956
635.54,0.25900000000000034,0.30000000000001137
1307.5,0.3089999999999975,0.3800000000000523
1560.7,0.3500000000000014,0.4000000000000341
1825.0,0.44200000000000017,0.4200000000000159
2034.7,0.5919999999999987,0.44000000000005457
2205.0,0.6499999999999986,0.4600000000000364
2393.1,0.6539999999999964,0.4800000000000182
2639.6,0.767000000000003,0.5
2980.8,0.8840000000000003,0.5200000000000387
3360.0,0.9039999999999964,0.5400000000000205
3688.1,0.963000000000001,0.5600000000000023
3937.8,1.0630000000000024,0.5800000000000409
4168.2,1.0959999999999965,0.6000000000000227
4375.6,1.0959999999999965,0.6200000000000045
4652.1,1.1670000000000016,0.6400000000000432
4934.7,1.3590000000000018,0.660000000000025
5193.1,1.4209999999999994,0.6800000000000068
5593.0,1.4709999999999965,0.7200000000000273
5715.5,1.5,0.7400000000000091
4793.3,1.6210000000000022,0.8000000000000114
3866.9,1.6749999999999972,0.82000000000005
3147.7,1.7049999999999983,0.8400000000000318
2144.3,1.7379999999999995,0.8600000000000136
1249.8,1.7879999999999967,0.8800000000000523
1048.8,1.8549999999999969,0.9000000000000341
1018.8,1.8590000000000018,0.9400000000000546
1222.4,1.8840000000000003,0.9600000000000364
1115.3,1.9050000000000011,1.0400000000000205
1042.1,1.9669999999999987,1.0600000000000023
1137.5,1.9709999999999965,1.080000000000041
1345.2,2.070999999999998,1.1000000000000227
1743.3,2.083999999999996,1.1200000000000045
1991.2,2.104999999999997,1.1400000000000432
1934.0,2.1670000000000016,1.160000000000025
1765.2,2.3049999999999997,1.1800000000000068
1688.5,2.387999999999998,1.2000000000000455
1637.4,2.4709999999999965,1.240000000000009
1841.6,2.5050000000000026,1.2600000000000477
2077.8,2.5249999999999986,1.2800000000000296
2235.6,2.533999999999999,1.3000000000000114
2210.3,2.658999999999999,1.32000000000005
2044.9,2.7550000000000026,1.3400000000000318
2043.1,2.7920000000000016,1.3600000000000136
1990.9,2.7959999999999994,1.3800000000000523
1881.0,2.8049999999999997,1.420000000000016
1824.4,2.854999999999997,1.4800000000000182
1777.7,2.8759999999999977,1.5
1449.0,2.945999999999998,1.5400000000000205
1411.1,3.067,1.5600000000000023
1607.4,3.1340000000000003,1.580000000000041
1750.9,3.2419999999999973,1.6000000000000227
1736.9,3.371000000000002,1.6200000000000045
1791.1,3.442,1.6400000000000432
1611.2,3.463000000000001,1.7200000000000273
1339.6,3.512999999999998,1.7600000000000477
1371.7,3.5630000000000024,1.7800000000000296
1435.9,3.5959999999999965,1.8000000000000114
1414.3,3.6169999999999973,1.82000000000005
1423.9,3.7379999999999995,1.8400000000000318
1363.5,3.8759999999999977,1.8600000000000136
1241.3,3.8759999999999977,1.900000000000034
1598.9,3.9840000000000018,2.0
1563.6,4.030000000000001,2.0200000000000387
1554.3,4.0589999999999975,2.0600000000000023
1479.0,4.0589999999999975,2.080000000000041
1819.7,4.0589999999999975,2.140000000000043
2127.4,4.0589999999999975,2.2800000000000296
2069.7,4.170999999999999,2.3000000000000114
1861.7,4.188000000000002,2.340000000000032
1733.7,4.359000000000002,2.3600000000000136
1640.0,4.533999999999999,2.3800000000000523
1630.4,4.5760000000000005,2.400000000000034
1694.6,4.658999999999999,2.420000000000016
1715.9,4.7010000000000005,2.4400000000000546
1803.1,4.741999999999997,2.4600000000000364
1941.6,4.775999999999996,2.5
1938.7,4.854999999999997,2.5200000000000387
1937.8,4.875999999999998,2.5400000000000205
1883.3,4.917000000000002,2.580000000000041
1989.8,5.009,2.6000000000000227
2312.6,5.025999999999996,2.640000000000043
2415.9,5.051000000000002,2.660000000000025
2406.8,5.072000000000003,2.680000000000007
2420.3,5.097000000000001,2.82000000000005
2420.0,5.192,2.900000000000034
2777.3,5.280000000000001,3.160000000000025
2812.0,5.380000000000003,3.180000000000007
2867.7,5.421999999999997,3.2000000000000455
2882.8,5.533999999999999,3.2600000000000477
2898.6,5.5589999999999975,3.2800000000000296
2895.7,5.591999999999999,3.3000000000000114
2918.1,5.634,3.32000000000005
2959.0,5.68,3.340000000000032
3046.2,5.708999999999996,3.420000000000016
3056.7,5.755000000000003,3.4400000000000546
3097.5,5.792000000000002,3.4600000000000364
3139.5,5.854999999999997,3.480000000000018
3171.3,5.859000000000002,3.5
3249.2,5.8969999999999985,3.7800000000000296
3262.9,5.954999999999998,3.8000000000000114
3220.9,5.972000000000001,3.82000000000005
3183.8,6.063000000000002,3.840000000000032
3176.0,6.155000000000001,3.8600000000000136
3176.5,6.155000000000001,3.8800000000000523
3240.7,6.158999999999999,3.920000000000016
3194.9,6.204999999999998,3.9400000000000546
2735.0,6.217999999999996,4.220000000000027
